Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Södertälje;97120;SMHIs stationsnät;2.0
;;;
;;;
Från Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
2012-12-01 00:00;12-dec;-3.7;Y
2013-01-01 00:00;13-jan;-4.6;Y
2013-02-01 00:00;13-feb;-2.4;Y
2013-03-01 00:00;13-mars;-3.6;Y
2013-04-01 00:00;13-apr;4.0;Y
2013-05-01 00:00;13-maj;12.8;Y
2013-07-01 00:00;13-juli;17.7;Y
2013-08-01 00:00;13-aug;16.6;Y
2013-09-01 00:00;13-sep;11.6;Y
2013-10-01 00:00;13-okt;7.8;Y
2013-11-01 00:00;13-nov;3.4;Y
2013-12-01 00:00;13-dec;2.7;Y
2014-01-01 00:00;14-jan;-1.9;Y
2014-02-01 00:00;14-feb;1.7;Y
2014-03-01 00:00;14-mars;3.8;Y
2014-04-01 00:00;14-apr;6.7;Y
2014-05-01 00:00;14-maj;10.4;Y
2014-06-01 00:00;14-juni;13.6;Y
2014-07-01 00:00;14-juli;20.1;Y
2014-08-01 00:00;14-aug;16.6;Y
2014-09-01 00:00;14-sep;12.1;Y
2014-10-01 00:00;14-okt;8.7;Y
2014-11-01 00:00;14-nov;4.8;Y
2014-12-01 00:00;14-dec;-0.6;Y
2015-01-01 00:00;15-jan;0.3;Y
2015-02-01 00:00;15-feb;0.6;Y
2015-05-01 00:00;15-maj;9.4;Y
2015-06-01 00:00;15-juni;13.9;Y
2015-07-01 00:00;15-juli;16.4;Y
2015-08-01 00:00;15-aug;16.9;Y
2015-09-01 00:00;15-sep;12.6;Y
2015-10-01 00:00;15-okt;6.6;Y
2015-11-01 00:00;15-nov;4.3;Y
2015-12-01 00:00;15-dec;3.3;Y
2016-01-01 00:00;16-jan;-4.9;Y
2016-02-01 00:00;16-feb;-0.5;Y
2016-03-01 00:00;16-mars;2.5;Y
2016-04-01 00:00;16-apr;5.5;Y
2016-05-01 00:00;16-maj;12.3;Y
2016-06-01 00:00;16-juni;15.9;Y
2016-07-01 00:00;16-juli;17.9;Y
2016-08-01 00:00;16-aug;16.1;Y
2016-09-01 00:00;16-sep;14.4;Y
2016-10-01 00:00;16-okt;6.9;Y
2016-11-01 00:00;16-nov;1.6;Y
2016-12-01 00:00;16-dec;1.8;Y
2017-01-01 00:00;17-jan;-0.9;Y
2017-02-01 00:00;17-feb;-0.6;Y
2017-03-01 00:00;17-mars;2.7;Y
2017-04-01 00:00;17-apr;4.4;Y
2017-05-01 00:00;17-maj;10.9;Y
2017-06-01 00:00;17-juni;15.0;Y
2017-07-01 00:00;17-juli;16.9;Y
2017-08-01 00:00;17-aug;16.0;Y
2017-09-01 00:00;17-sep;12.5;Y
2017-10-01 00:00;17-okt;7.3;Y
2017-11-01 00:00;17-nov;2.9;Y
2017-12-01 00:00;17-dec;0.7;Y
2018-01-01 00:00;18-jan;-0.6;Y
2018-02-01 00:00;18-feb;-4.0;Y
2018-03-01 00:00;18-mars;-2.3;Y
2018-04-01 00:00;18-apr;6.4;Y
2018-05-01 00:00;18-maj;15.4;Y
2018-06-01 00:00;18-juni;16.5;Y
2018-07-01 00:00;18-juli;21.5;Y
2018-08-01 00:00;18-aug;17.9;Y
2018-09-01 00:00;18-sep;13.4;Y
2018-10-01 00:00;18-okt;7.6;Y
2018-11-01 00:00;18-nov;3.8;Y
2018-12-01 00:00;18-dec;0.2;Y
2019-01-01 00:00;19-jan;-2.7;Y
2019-02-01 00:00;19-feb;1.4;Y
2019-03-01 00:00;19-mars;2.4;Y
2019-04-01 00:00;19-apr;6.8;Y
2019-05-01 00:00;19-maj;10.5;Y
2019-06-01 00:00;19-juni;17.8;Y
2019-07-01 00:00;19-juli;17.0;Y
2019-08-01 00:00;19-aug;17.3;Y
2019-09-01 00:00;19-sep;12.1;Y
2019-10-01 00:00;19-okt;6.6;Y
2019-11-01 00:00;19-nov;3.7;Y
2019-12-01 00:00;19-dec;2.3;Y
2020-01-01 00:00;20-jan;3.6;Y
2020-02-01 00:00;20-feb;2.2;Y
2020-03-01 00:00;20-mars;2.9;Y
2020-04-01 00:00;20-apr;6.7;Y
2020-05-01 00:00;20-maj;9.5;Y
2020-06-01 00:00;20-juni;18.0;Y
2020-07-01 00:00;20-juli;16.3;Y
2020-08-01 00:00;20-aug;18.3;Y
2020-09-01 00:00;20-sep;13.5;Y
2020-10-01 00:00;20-okt;8.8;Y
2020-11-01 00:00;20-nov;6.3;Y
2020-12-01 00:00;20-dec;3.6;Y
2021-01-01 00:00;21-jan;-1.9;Y
2021-02-01 00:00;21-feb;-2.8;Y
2021-03-01 00:00;21-mars;3.1;Y
2021-04-01 00:00;21-apr;4.9;Y
2021-05-01 00:00;21-maj;10.0;Y
2021-06-01 00:00;21-juni;18.5;Y
2021-07-01 00:00;21-juli;20.3;Y
2021-08-01 00:00;21-aug;15.1;Y
2021-09-01 00:00;21-sep;11.7;Y
2021-10-01 00:00;21-okt;8.8;Y
2021-11-01 00:00;21-nov;3.1;Y
2021-12-01 00:00;21-dec;-2.4;Y
2022-01-01 00:00;22-jan;0.0;Y
2022-02-01 00:00;22-feb;0.3;Y
2022-03-01 00:00;22-mars;2.7;Y
2022-04-01 00:00;22-apr;4.9;Y
2022-05-01 00:00;22-maj;10.7;Y
2022-06-01 00:00;22-juni;17.2;Y
2022-07-01 00:00;22-juli;17.6;Y
2022-08-01 00:00;22-aug;18.7;Y
2022-09-01 00:00;22-sep;11.2;Y
2022-10-01 00:00;22-okt;9.2;Y
2022-11-01 00:00;22-nov;4.7;Y
2022-12-01 00:00;22-dec;-2.3;Y
