Andel män inrikes;Andel män utrikes;Andel kvinna inrikes;Andel kvinna utrikes
63,98448861;7,755695589;58,16771692;4,847309743
68,16809043;3,451548883;69,89386487;6,040210544
59,22886343;3,871167544;60,39021369;5,806751316
57,07912347;12,4655557;55,76695972;7,216900669
41,11466423;2,284148013;30,83599817;0
73,52941176;14,3472023;69,94261119;8,967001435
52,79312462;3,06936771;42,3572744;3,683241252
64,00839454;7,345225603;45,12067156;12,59181532
66,10576923;13,52163462;79,62740385;7,512019231
70,84348019;6,641576267;46,49103387;11,06929378
37,2650373;4,808391909;34,2281582;5,188001797
35,58877174;4,448596468;34,2541928;3,114017527
59,14586414;5,218752718;50,44794294;3,479168479
54,49501288;8,587092939;50,53173922;7,926547328
59,80749463;4,672460518;41,11765256;6,541444725
53,76573501;8,10753147;52,91231065;6,400682739
77,23761926;11,35847342;45,43389368;22,71694684
44,85198844;15,94737367;51,82896442;16,94408452
46,79296964;11,41291942;35,38005022;11,41291942
41,29016815;13,16498115;40,69175992;15,55861409
62,20010663;10,66287542;55,09152301;14,21716723
34,66685156;11,03036186;34,22563708;8,57216693
49,17105435;6,527131108;49,17105435;6,091989034
53,21939885;19,48879394;60,71508882;14,99137996
44,02756508;7,274119449;51,30168453;11,86830015
57,51615423;6,390683803;52,54562238;5,680607825
54,41176471;2,941176471;67,64705882;0
50,69214272;3,899395594;53,61668941;6,823942289
37,14639489;1,904943328;38,09886656;4,76235832
44,06379942;5,585552039;50,26996835;3,723701359
82,04111071;1,803101334;70,32095204;4,507753336
51,9180848;5,768676089;54,80242284;1,442169022
54,14648048;2,849814762;76,94499858;7,124536905
54,01941036;5,493499359;51,27266068;8,240249039
59,9642149;3,868659026;55,12839112;4,352241404
36,44387977;1,337390083;39,78735498;4,17934401
42,73831883;5,557897965;40,82180229;5,174594657
53,23396327;1,774465442;46,1361015;0,887232721
56,33620411;6,475425759;49,86077835;6,475425759
54,07291122;7,849293564;51,02040816;8,721437293
60,33468675;6,830341897;52,74541798;6,450878458
79,02422264;5,153753651;65,28087957;0
62,28885135;10,55743243;53,84290541;14,78040541
62,81190845;3,441748408;54,20753743;4,30218551
64,29851376;3,162221988;43,21703384;3,162221988
58,06829684;3,19642001;69,78850354;2,130946673
42,70820249;5,507618873;44,35082566;3,961620593
52,68811704;4,348048494;57,03616553;4,603816052
64,92992319;5,542798321;70,47272151;2,771399161
60,84735577;4,131610577;70,98858173;3,380408654
62,35406495;2,918700913;54,12863511;2,653364466
72,18637209;2,187465821;69,99890627;5,468664552
70,40666892;2,816266757;47,87653487;7,885546919
70,34044777;3,617508742;57,88013988;4,019454158
49,11383742;3,220579503;50,62348406;3,321222612
65,34852547;3,90974084;67,02412869;6,143878463
70,71302298;3,749933037;78,74859378;2,678523598
57,2385118;1,619957881;57,41850712;3,419911082
88,90606881;7,730962505;86,97332818;3,865481252
69,78253814;8,114248621;47,062642;4,868549172
50,862735;3,219160443;48,93123873;2,575328354
71,07133456;3,509695534;65,80679126;4,387119417
35,68532036;0,811030008;21,89781022;1,622060016
61,3154961;4,180602007;69,67670011;0
74,61953854;3,927344134;68,72852234;3,927344134
44,03992954;1,236208548;47,28497698;2,472417097
62,27002547;4,245683555;75,00707614;1,415227852
101,1804384;4,215851602;113,8279933;4,215851602
63,59011628;3,63372093;89,02616279;5,450581395
71,01642255;1,479508803;62,13936973;4,438526409
76,007094;0;88,67494299;2,5335698
75,83250907;0;75,83250907;0
78,30172264;1,740038281;66,12145467;3,480076562
69,7865353;8,210180624;86,20689655;0
145,0476585;4,144218815;111,893908;0
60,24768493;1,115697869;49,09070624;3,347093607
67,26106679;3,128421711;79,77475364;3,128421711
75,4852624;7,18907261;79,07979871;3,594536305
33,50096419;2,193065376;36,37463606;1,814950656
66,97704811;3,267173078;75,96177407;5,717552887
55,24045053;0,806429935;56,58450042;1,747264858
60,54655539;0;76,91048928;1,636393389
71,24109486;3,749531309;59,99250094;11,24859393
81,93277311;0;48,31932773;4,201680672
129,7468354;3,164556962;129,7468354;0
73,74912582;8,900756564;67,39144256;6,35768326
80,11653314;21,84996358;46,1277009;33,98883224
101,9887812;5,099439062;74,7917729;18,69794323
59,70149254;1,148105626;55,68312285;5,740528129
75,84376185;3,792188093;70,78751106;1,264062698
42,14830145;2,145272828;47,0698097;4,290545656
49,10060904;1,652424343;49,33666966;1,888484963
58,11466058;1,42612664;52,76668568;2,49572162
38,54389722;46,0385439;26,76659529;50,32119914
62,43589172;1,783882621;53,07050796;4,905677206
