Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visby Flygplats;78400;SMHIs stationsnät;2.0
;;;
;;;
Från Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1991-11-01 00:00;nov-91;4.6;Y
1991-12-01 00:00;dec-91;2.4;Y
1992-01-01 00:00;jan-92;2.1;Y
1992-02-01 00:00;feb-92;1.6;Y
1992-03-01 00:00;mars-92;2.6;Y
1992-04-01 00:00;apr-92;3.7;Y
1992-05-01 00:00;maj-92;11.9;Y
1992-06-01 00:00;juni-92;16.1;Y
1992-07-01 00:00;juli-92;17.4;Y
1992-08-01 00:00;aug-92;16.4;Y
1992-09-01 00:00;sep-92;12.2;Y
1992-10-01 00:00;okt-92;4.8;Y
1992-11-01 00:00;nov-92;3.9;Y
1992-12-01 00:00;dec-92;2.2;Y
1993-01-01 00:00;jan-93;1.5;Y
1993-02-01 00:00;feb-93;0.8;Y
1993-03-01 00:00;mars-93;1.8;Y
1993-04-01 00:00;apr-93;5.3;Y
1993-05-01 00:00;maj-93;13.2;Y
1993-06-01 00:00;juni-93;13.0;Y
1993-07-01 00:00;juli-93;15.4;Y
1993-08-01 00:00;aug-93;14.2;Y
1993-09-01 00:00;sep-93;9.5;Y
1993-10-01 00:00;okt-93;7.1;Y
1993-11-01 00:00;nov-93;0.9;Y
1993-12-01 00:00;dec-93;1.2;Y
1994-01-01 00:00;jan-94;0.5;Y
1994-02-01 00:00;feb-94;-4.5;Y
1994-03-01 00:00;mars-94;1.0;Y
1994-04-01 00:00;apr-94;6.0;Y
1994-05-01 00:00;maj-94;8.1;Y
1994-06-01 00:00;juni-94;13.1;Y
1994-07-01 00:00;juli-94;19.4;Y
1994-08-01 00:00;aug-94;17.4;Y
1994-09-01 00:00;sep-94;12.7;Y
1994-10-01 00:00;okt-94;7.0;Y
1994-11-01 00:00;nov-94;4.1;Y
